party,url,content,date
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-mississauga-2/,"

Share





Mississauga, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at an open Liberal fundraising event in Mississauga, ON, on March 26, 2019.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency with political fundraising events, and is challenging other parties to do the same.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Mississauga:
Tuesday, Mach 26, 2019
7:00 PM – Remarks by Justin Trudeau in Mississauga, ON
Versailles Convention Centre
6721 Edwards Blvd
Mississauga, ON, L5T 2V9
Notes for Media:
Open coverage for remarks
Media must arrive by 6:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-03-25
liberal,https://www.liberal.ca/justin-trudeau-makes-remarks-at-liberal-donor-appreciation-event-dec12/,"

Share





Ottawa, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks at a Laurier Club donor appreciation reception in Ottawa on December 12, 2017.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency, and is challenging other parties to do the same.
For Liberal fundraising events that include Ministers or the Leader as the special guest,  Canadians are now able to view upcoming events posted at least 3 days in advance, and access event reports and lists of guests no more than 45 days after each event. These events are hosted in publicly accessible spaces only, and the party has also committed to facilitating media coverage.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Ottawa:
Tuesday, December 12, 2017
7:00 PM – Remarks by Justin Trudeau
National Gallery of Canada
380 Sussex Drive
Ottawa, ON K1A 0G8
Notes for Media:
Open coverage for remarks
Media must arrive by 6:30 PM to register
Media must use the north doors of the main entrance
RSVP: media@liberal.ca
For more information, please contact:
media@liberal.ca
613-627-2384
",2017-12-11
liberal,https://www.liberal.ca/nanaimo-ladysmith-liberals-to-nominate-team-trudeau-candidate/,"

Share





Nanaimo, BC – The Liberal Party of Canada will hold its open Team Trudeau nomination meeting for the upcoming Nanaimo—Ladysmith federal by-election, on March 16, 2019.
Local Liberals will gather to nominate their candidate at Nanaimo’s Beban Park Social Centre, with the two nomination candidates, Michelle Corfield and Melissa Hall, speaking at 1:00 PM. Voting will conclude at 3:00 PM. Results will be announced when counting is complete.
March 16, 2019
Team Trudeau candidate selection meeting
With speeches from Nanaimo—Ladysmith nomination candidates
1:00 PM (speeches)
Beban Park Social Centre
2300 Bowen Rd
Nanaimo, BC, V9T 2B7
Notes for Media:
Open media coverage
For speeches, media should arrive by 12:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-03-15
liberal,https://www.liberal.ca/cuts-cuts-and-more-cuts-andrew-scheer-is-an-economic-risk-to-the-middle-class/,"

Share





TORONTO, ON – Following last week’s news that Canadians have created more than one million new jobs since 2015, Liberal M.P. Marco Mendicino highlighted the risk that Andrew Scheer’s reckless cuts would pose to the economy and our middle class.
“Andrew Scheer wants to make reckless cuts that would cripple our economy and put middle class jobs at risk. To fulfill his promises, Andrew Scheer would make drastic and reckless cuts to programs and services that millions of middle class Canadians rely on – while at the same time promising tax cuts for the wealthiest Canadians,” says Liberal M.P. Marco Mendicino. “We know that this is what Conservative politicians do. Making cuts to programs and services that middle class Canadian families rely on is all too familiar to the people of Ontario who have watched Doug Ford make cuts to schools, libraries, public health agencies, and francophone services. This would cost jobs and hurt the economy.”
Today, Canada’s economy is strong and growing, with record-low unemployment and poverty levels and more than a million new jobs created since late 2015. That record of economic success, and Canada’s solid reputation as a good place to invest and do business, would be at risk under Andrew Scheer’s short-sighted economic “vision,” including a tax break for wealthy Canadians who send their children to private schools (anticipated cost: $1.7 billion) and putting U.S. missiles on Canadian soil (anticipated cost: $10.8 billion over five years on military spending.)
And let’s not forget that Andrew Scheer’s signature foreign policy idea is supporting Britain’s exit from Europe, which has seen an economic catastrophe.
Andrew Scheer won’t let the Parliamentary Budget Officer do an independent costing of his platform. But we know that his spending promises come with a hefty price tag, which means that Andrew Scheer would have to make $55 billion in cuts to fulfill his promises. To keep his promise, Andrew Scheer would have to make reckless cuts to programs and services that help middle class Canadians like:

Investments to assist low income seniors
Lowering interest rates on student loans
The Canada Workers Benefit
The Housing Affordability Plan
The plan to move forward on Pharmacare
Access to high-speed internet for all Canadians

“Andrew Scheer has no credible plan to grow the economy and help the middle class,” said Marco Mendicino. “He can’t balance the budget without making cuts, and austerity through cuts doesn’t help Canadians. Ontarians know what it’s like to be told that there will be no cuts only to find out after the election that that promise wasn’t true. Canadians deserve better.”

",2019-05-16
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-st-johns/,"

Share





St. John’s, NL – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at a donor appreciation event in St. John’s on February 22, 2019.
The Liberal Party of Canada has committed to the strongest standards in federal politics for openness and transparency with political fundraising events, and is challenging other parties to do the same.
More details are available at www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in St. John’s:
Friday, February 22, 2019
12:00 PM – Remarks by Justin Trudeau
Alt Hotel St. John’s
125 Water Street
St. John’s, NL, A1C 5X4
Notes for Media:
Open coverage for remarks
Media must arrive no later than 11:30 AM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-02-21
liberal,https://www.liberal.ca/liberals-to-make-it-easier-to-start-and-grow-a-business-moving-canadas-economy-forward/,"

Share





Trois-Rivières, QC — A re-elected Liberal government will make it easier and more affordable for hard-working Canadians to start and grow their own businesses.
Right now, seven out of every ten Canadians work for small and medium-sized businesses — making them Canada’s largest employers and drivers of our economy. Yet for too many entrepreneurs, the costs of doing business is a barrier.
“After a decade of stalled economic growth and unemployment under the Conservatives, Canada’s economy has rebounded — largely thanks to the hard work of Canadians who started their own businesses,” said Leader of the Liberal Party of Canada, Justin Trudeau. “To keep that momentum moving forward, we cut the small business tax rate and now we’re making it possible for anyone with a good idea and a passion for what they do to start their own business and support their communities.”
In addition to cutting the small business tax rate from 11 per cent to 9 per cent, a re-elected Liberal government will remove barriers to success by cutting fees, reducing red tape, and creating funds for new business owners to find support. We will also:

provide up to 2,000 entrepreneurs a year with as much as $50,000 to launch a new business;
give $250 to every new business looking to expand their online services;
eliminate all fees from the Business Development Bank of Canada (BDC), Export Development Canada (EDC), and Farm Credit Canada, for business advisory services like mentorship and training;
cut the cost of federal incorporation by 75 per cent; and
eliminate the “swipe fee” on HST and GST for credit transactions — which will save businesses nearly $500 million a year in fees, according to the Canadian Federation of Independent Business.

These measures build on four years of strong Liberal support for small- and medium-sized businesses in Canada, including:

cutting the small business tax rate to nine per cent — the lowest rate in the G7 — which saves businesses as much as $7,500 per year;
allowing businesses to write-off job creating investments;
making regulations smarter and eliminating unnecessary and outdated regulations; and
opening up new markets for businesses by introducing the Export Diversification Strategy.

“More support for the wealthiest one percent won’t help the average Canadian get ahead,” said Mr. Trudeau. “Only Liberals have a plan to keep moving forward and give everyone a chance to succeed.”
Background: Making it easier and more affordable to start and grow a business
",2019-09-13
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-team-trudeau-2019-nomination-event-with-alaina-lockhart/,"

Share





Quispamsis, NB – Justin Trudeau will join local Liberals for Alaina Lockhart’s Team Trudeau 2019 nomination event in Fundy Royal on January 23, 2019.
New Brunswick and Atlantic Canada have been a major focus of the Liberal Party’s growth as a movement since the last election, with more than 15,000 Canadians in Atlantic Canada having registered as new Liberals in the last two years alone. Justin Trudeau and the Liberal team are focused on a positive plan to create good new jobs, strengthen the middle class, grow the economy, and offer real help to New Brunswick families.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Fundy Royal:
Team Trudeau 2019 Nomination event
 with remarks from Justin Trudeau
January 23, 2019
7:00 PM AST
QPlex Arena
20 Randy Jones Way
Quispamsis, NB, E2E 0K5
Notes for Media:
Open media coverage
Media must arrive by 6:15 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-01-22
liberal,https://www.liberal.ca/justin-trudeau-delivers-remarks-to-supporters-in-etobicoke/,"

Share





Etobicoke, ON – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at an open Liberal fundraising event in Etobicoke, ON, on June 14, 2019.
More details are available at https://www.liberal.ca/openfundraising/
To facilitate media coverage, members of the press are invited to cover remarks being delivered by Mr. Trudeau in Etobicoke:
Friday, June 14, 2019
8:00 PM – Remarks by Justin Trudeau
Delta Hotels by Marriott Toronto Airport & Conference Centre, Plaza A
655 Dixon Rd
Etobicoke, ON, M9W 1J3
Notes for Media:
Open coverage for remarks
Media must arrive by 7:30 PM
Media should enter through the South Entrance
Please note: all times are local.
",2019-06-13
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-team-trudeau-2019-campaign-rally-with-tamara-taggart/,"

Share





Vancouver, British Columbia – Liberal Leader Justin Trudeau will join local Liberals for a Team Trudeau 2019 Campaign rally with Tamara Taggart in Vancouver Kingsway on September 11, 2019.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Vancouver Kingsway:
Team Trudeau 2019 campaign event with remarks from Justin Trudeau and Tamara Taggart
Wednesday, September 11, 2019
6:00 PM
Italian Cultural Centre
3075 Slocan Street
Vancouver, BC, V5M 3E4
Notes for Media:

Open media coverage
Media must arrive by 5:30 PM
Media should arrive via the South Grandview Highway entrance. Marked parking will be reserved in the south end of the lot. Media should report to the Osteria Room inside the Social Wing.
RSVP: media@liberal.ca

Please note: all times are local.
",2019-09-10
liberal,https://www.liberal.ca/in-their-own-words-justin-trudeau-shines-in-french-language-leaders-debate/,"

Share





2019 French-language Leaders’ Debate
Once again, Liberal Leader Justin Trudeau clearly demonstrated the choice Canadians have to make on October 21: keep moving forward with the progress achieved over the past four years, or go back to the politics of the Harper years. Here is what some people are saying about tonight’s debate:
Quotations are included in their original language
« L’attaque de Justin Trudeau fait mouche : « Vous étiez tous les deux avec Harper », dit-il à Bernier et Scheer qui s’inquiètent du déficit. Couper sous Harper « n’a pas livré une croissance économique », martèle-t-il. » – Antoine Robitaille (Journal de Québec), Twitter, 10 octobre, 2019
“Scheer says he’ll fight climate change in a global context. Translation: he’ll blame China and India.” – Peter F. Jackson, Journalist, Twitter, October 10, 2019
“Scheer is again lying about the output-based pricing system.” – Dale Smith, Twitter, October 10, 2019
“Singh deploying his false talking points about companies buying limos and jets.” – Dale Smith, Twitter, October 10, 2019
“Bernier, Trudeau, Scheer on economy. Trudeau dominating.” – Stephen Maher (Maclean’s) Twitter, October 10, 2019
“Scheer says he’s proposed a plan to balance the budget in five years. Trudeau: ‘We haven’t seen it. We haven’t seen it.’ (He’s right on that. Scheer has released costings for individual promises, but tomorrow releases the full platform.)” – Tonda MacCharles (Toronto Star), Twitter, October 10, 2019
“So, May touts of her platform’s @IFSD_IFPD pass. The Greens passed on realistic economic assumptions and transparency. They failed on fiscal management.” – John Geddes (Maclean’s), Twitter, October 10, 2019
“The poverty rate in Canada has fallen to unprecedented lows under the @liberal_party government. @StatCan_eng has said this in significant part is due to policy changes introduced by the government.” – Miles Corak (The Graduate Center, City University of New York), Twitter, October 10, 2019
“Now Bloc is on the spot for supporting a Quebec LNG pipeline but not Alberta pipelines. He is vulnerable on this file as former environment minister.” – Evan Solomon (CTV), Twitter, October 10, 2019
« Trudeau : Rappelle les coupes de Doug Ford aux franco-ontariens et avertir que les Conservateurs vont le continuer. Vante son bilan en langues officielles au cours des 4 dernières années. » – Christopher G. Nardi (Journal de Montréal), Twitter, 10 octobre, 2019
“Singh has not punched through as he did before. Scheer also has not really landed a heavy blow.” – Evan Solomon (CTV), Twitter, October 10, 2019
“Trudeau seems to have some fire in his belly tonight.” – Stephen Maher (Maclean’s), Twitter, October 10, 2019
“@theJagmeetSingh asked why NDP opposes every trade agreement. Asked if he is a protectionist. Singh repeats his talking points about working for you and why [NAFTA] is bad but doesn’t answer question.” – Evan Solomon (CTV), Twitter, October 10, 2019
“So, my bet is Trudeau will be happy with debate.” – Evan Solomon (CTV), Twitter, October 10, 2019
",2019-10-10
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-in-quebec-city/,"

Share





Quebéc, QC – Justin Trudeau, Leader of the Liberal Party of Canada, will deliver remarks to supporters at the 2019 convention of the Liberal Party of Canada (Québec) and a Team Trudeau 2019 nomination event with Jean-Yves Duclos in Québec City, on January 25, 2019.
Justin Trudeau and the Liberal team are focused on a strong plan for Québec families: to strengthen the middle class, grow the economy, create good new jobs, and protect a healthy environment for our kids and grandkids. More than 36,000 Québecers have registered as new Liberals in the last two years alone – and that grassroots support is continuing to grow every day.
Friday, January 25, 2019
LPC(Q) Convention:
 Remarks by Justin Trudeau – 7:00 PM
Open Coverage – Media must arrive to Room 2101 by 6:00 PM
Where:
Québec City Convention Centre, Hall 2000AB
1000 Boulevard René-Lévesque E
Québec, QC, G1R 5T8
Team Trudeau 2019 nomination event with Jean-Yves Duclos:
 Remarks by Justin Trudeau – 8:30 PM
Open coverage – Media must arrive by 8:00 PM
Where:
Trois Brasseurs
650 Grande Allée E
Québec, QC G1R 2K4
Saturday, January 26, 2019
Liberal MPs will be available to media – 5:00 PM
Open Coverage – Media should arrive to Room 2101 by 4:45 PM
Where:
Québec City Convention Centre
1000 Boulevard René-Lévesque E
Québec, QC, G1R 5T8
For more details on the 2019 LPC(Q) Convention, please visit: https://Quebec2019.liberal.ca/
Please note: all times are local.
",2019-01-24
